version,area,direction,description
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulImplementsKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulImportKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulIndexedKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulInlineKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulIntKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulInterfaceKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulInternalKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulIsKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulLibraryKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulMacroKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulMappingKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulMatchKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulMemoryKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulMinutesKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulModifierKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulMutableKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulNewKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulNullKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulOfKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulOverrideKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulPartialKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulPayableKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulPragmaKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulPrivateKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulPromiseKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulPublicKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulPureKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulReceiveKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulReferenceKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulRelocatableKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulReturnsKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulSealedKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulSecondsKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulSizeOfKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulStaticKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulStorageKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulStringKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulStructKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulSupportsKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulThrowKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulTryKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulTypeDefKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulTypeKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulTypeOfKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulUintKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulUncheckedKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulUsingKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulViewKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulVirtualKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulWeeksKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulWeiKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulWhileKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,ForwardsIncompatible,"Keyword `YulYearsKeyword` is now unreserved, and can be used as an identifier."
0.7.1,Keywords,BackwardsIncompatible,"Keyword `YulLeaveKeyword` is now reserved, and can not be used as an identifier."
0.7.4,Nodes,ForwardsIncompatible,Nonterminal `ConstantDefinition` is introduced.
0.7.4,Children,ForwardsIncompatible,Child `ConstantDefinition` of node `SourceUnitMember` is introduced.
0.8.0,Nodes,ForwardsIncompatible,A variation of the operator `ExponentiationExpression` is introduced.
0.8.0,Nodes,ForwardsIncompatible,Keyword `UncheckedKeyword` is introduced.
0.8.0,Nodes,ForwardsIncompatible,Nonterminal `UncheckedBlock` is introduced.
0.8.0,Nodes,BackwardsIncompatible,A variation of the operator `ExponentiationExpression` is deprecated.
0.8.0,Nodes,BackwardsIncompatible,Keyword `ByteKeyword` is deprecated.
0.8.0,Children,ForwardsIncompatible,Child `UncheckedBlock` of node `Statement` is introduced.
0.8.0,Children,BackwardsIncompatible,Child `ByteKeyword` of node `ElementaryType` is deprecated.
0.8.0,Keywords,BackwardsIncompatible,"Keyword `SuperKeyword` is now reserved, and can not be used as an identifier."
0.8.0,Keywords,BackwardsIncompatible,"Keyword `ThisKeyword` is now reserved, and can not be used as an identifier."
0.8.0,Keywords,BackwardsIncompatible,"Keyword `YulSuperKeyword` is now reserved, and can not be used as an identifier."
0.8.0,Keywords,BackwardsIncompatible,"Keyword `YulThisKeyword` is now reserved, and can not be used as an identifier."
0.8.0,Builtins,ForwardsIncompatible,Builtin Field `address origin` of type `%TransactionType` is introduced.
0.8.0,Builtins,ForwardsIncompatible,Builtin Field `address sender` of type `%MessageType` is introduced.
0.8.0,Builtins,ForwardsIncompatible,Builtin Field `bytes code` of type `address payable` is introduced.
0.8.0,Builtins,ForwardsIncompatible,Builtin Field `bytes code` of type `address` is introduced.
0.8.0,Builtins,ForwardsIncompatible,Builtin Field `bytes32 codehash` of type `address payable` is introduced.
0.8.0,Builtins,ForwardsIncompatible,Builtin Field `bytes32 codehash` of type `address` is introduced.
0.8.0,Builtins,ForwardsIncompatible,Builtin Field `uint chainid` of type `%BlockType` is introduced.
0.8.0,Builtins,BackwardsIncompatible,Builtin Field `address payable origin` of type `%TransactionType` is deprecated.
0.8.0,Builtins,BackwardsIncompatible,Builtin Field `address payable sender` of type `%MessageType` is deprecated.
0.8.0,Builtins,BackwardsIncompatible,Builtin Function `log0` is deprecated.
0.8.0,Builtins,BackwardsIncompatible,Builtin Function `log1` is deprecated.
0.8.0,Builtins,BackwardsIncompatible,Builtin Function `log2` is deprecated.
0.8.0,Builtins,BackwardsIncompatible,Builtin Function `log3` is deprecated.
0.8.0,Builtins,BackwardsIncompatible,Builtin Function `log4` is deprecated.
0.8.2,Builtins,ForwardsIncompatible,Builtin Field `address address` of type `%ExternalFunction` is introduced.
0.8.4,Nodes,ForwardsIncompatible,Keyword `ErrorKeyword` is introduced.
0.8.4,Nodes,ForwardsIncompatible,Keyword `RevertKeyword` is introduced.
0.8.4,Nodes,ForwardsIncompatible,Nonterminal `ErrorDefinition` is introduced.
0.8.4,Nodes,ForwardsIncompatible,Nonterminal `ErrorParameter` is introduced.
0.8.4,Nodes,ForwardsIncompatible,Nonterminal `ErrorParametersDeclaration` is introduced.
0.8.4,Nodes,ForwardsIncompatible,Nonterminal `ErrorParameters` is introduced.
0.8.4,Nodes,ForwardsIncompatible,Nonterminal `RevertStatement` is introduced.
0.8.4,Children,ForwardsIncompatible,Child `ErrorDefinition` of node `ContractMember` is introduced.
0.8.4,Children,ForwardsIncompatible,Child `ErrorDefinition` of node `SourceUnitMember` is introduced.
0.8.4,Children,ForwardsIncompatible,Child `RevertStatement` of node `Statement` is introduced.
0.8.4,Builtins,ForwardsIncompatible,Builtin Type `%ErrorType` is introduced.
0.8.7,Builtins,ForwardsIncompatible,Builtin Field `uint basefee` of type `%BlockType` is introduced.
0.8.7,Builtins,ForwardsIncompatible,Builtin Function `basefee` is introduced.
0.8.8,Nodes,ForwardsIncompatible,Nonterminal `UserDefinedValueTypeDefinition` is introduced.
0.8.8,Children,ForwardsIncompatible,Child `UserDefinedValueTypeDefinition` of node `ContractMember` is introduced.
0.8.8,Children,ForwardsIncompatible,Child `UserDefinedValueTypeDefinition` of node `SourceUnitMember` is introduced.
0.8.8,Builtins,ForwardsIncompatible,Builtin Type `%UserDefinedValueType` is introduced.
0.8.8,Builtins,ForwardsIncompatible,`type(Enum)` expressions now have members `min` and `max`.
0.8.11,Builtins,ForwardsIncompatible,"Builtin Type Function `encodeCall(function() functionPointer, %Any[] functionArgumentsTuple) returns bytes memory` of type `%AbiType` is introduced."
0.8.13,Nodes,ForwardsIncompatible,Keyword `GlobalKeyword` is introduced.
0.8.13,Nodes,ForwardsIncompatible,Nonterminal `AssemblyFlagsDeclaration` is introduced.
0.8.13,Nodes,ForwardsIncompatible,Nonterminal `AssemblyFlags` is introduced.
0.8.13,Nodes,ForwardsIncompatible,Nonterminal `UsingDeconstructionSymbol` is introduced.
0.8.13,Nodes,ForwardsIncompatible,Nonterminal `UsingDeconstructionSymbols` is introduced.
0.8.13,Nodes,ForwardsIncompatible,Nonterminal `UsingDeconstruction` is introduced.
0.8.13,Children,ForwardsIncompatible,Child `UsingDeconstruction` of node `UsingClause` is introduced.
0.8.13,Children,ForwardsIncompatible,Child `UsingDirective` of node `SourceUnitMember` is introduced.
0.8.13,Children,ForwardsIncompatible,Child `flags` of node `AssemblyStatement` is introduced.
0.8.13,Children,ForwardsIncompatible,Child `global_keyword` of node `UsingDirective` is introduced.
0.8.18,Children,ForwardsIncompatible,Child `name` of node `MappingKey` is introduced.
0.8.18,Children,ForwardsIncompatible,Child `name` of node `MappingValue` is introduced.
0.8.18,Builtins,ForwardsIncompatible,Builtin Field `uint prevrandao` of type `%BlockType` is introduced.
0.8.18,Builtins,ForwardsIncompatible,Builtin Function `prevrandao` is introduced.
0.8.18,Builtins,BackwardsIncompatible,Builtin Function `difficulty` is deprecated.
0.8.19,Nodes,ForwardsIncompatible,Nonterminal `UsingAlias` is introduced.
0.8.19,Nodes,ForwardsIncompatible,Nonterminal `UsingOperator` is introduced.
0.8.19,Children,ForwardsIncompatible,Child `alias` of node `UsingDeconstructionSymbol` is introduced.
0.8.22,Children,ForwardsIncompatible,Child `EventDefinition` of node `SourceUnitMember` is introduced.
0.8.24,Builtins,ForwardsIncompatible,Builtin Field `uint blobbasefee` of type `%BlockType` is introduced.
0.8.24,Builtins,ForwardsIncompatible,Builtin Function `blobbasefee` is introduced.
0.8.24,Builtins,ForwardsIncompatible,Builtin Function `blobhash` is introduced.
0.8.24,Builtins,ForwardsIncompatible,Builtin Function `blobhash` is introduced.
0.8.24,Builtins,ForwardsIncompatible,Builtin Function `mcopy` is introduced.
0.8.24,Builtins,ForwardsIncompatible,Builtin Function `tload` is introduced.
0.8.24,Builtins,ForwardsIncompatible,Builtin Function `tstore` is introduced.
0.8.26,Builtins,ForwardsIncompatible,Builtin Function `require` is introduced.
0.8.27,Nodes,ForwardsIncompatible,Keyword `TransientKeyword` is introduced.
0.8.27,Children,ForwardsIncompatible,Child `TransientKeyword` of node `StateVariableAttribute` is introduced.
0.8.29,Nodes,ForwardsIncompatible,Keyword `AtKeyword` is introduced.
0.8.29,Nodes,ForwardsIncompatible,Keyword `LayoutKeyword` is introduced.
0.8.29,Nodes,ForwardsIncompatible,Nonterminal `StorageLayoutSpecifier` is introduced.
0.8.29,Children,ForwardsIncompatible,Child `StorageLayoutSpecifier` of node `ContractSpecifier` is introduced.
